Results:

Channel 1:
Segment 1:
Ep = 0.298V
ip = -5.690e-9A
Ah = -5.633e-9C

Segment 2:
Ep = 0.123V
ip = 5.238e-9A
Ah = 5.427e-9C

Potential/V	Current/A

0.000	2.220e-10
0.001	2.032e-10
0.002	1.913e-10
0.003	1.841e-10
0.004	1.781e-10
0.005	1.742e-10
0.006	1.703e-10
0.007	1.667e-10
0.008	1.640e-10
0.009	1.605e-10
0.010	1.586e-10
0.011	1.556e-10
0.012	1.527e-10
0.013	1.507e-10
0.014	1.478e-10
0.015	1.458e-10
0.016	1.434e-10
0.017	1.408e-10
0.018	1.388e-10
0.019	1.360e-10
0.020	1.341e-10
0.021	1.317e-10
0.022	1.294e-10
0.023	1.275e-10
0.024	1.249e-10
0.025	1.231e-10
0.026	1.209e-10
0.027	1.188e-10
0.028	1.168e-10
0.029	1.143e-10
0.030	1.127e-10
0.031	1.102e-10
0.032	1.081e-10
0.033	1.064e-10
0.034	1.039e-10
0.035	1.025e-10
0.036	9.998e-11
0.037	9.799e-11
0.038	9.624e-11
0.039	9.380e-11
0.040	9.255e-11
0.041	9.023e-11
0.042	8.813e-11
0.043	8.626e-11
0.044	8.369e-11
0.045	8.237e-11
0.046	7.996e-11
0.047	7.799e-11
0.048	7.639e-11
0.049	7.367e-11
0.050	7.233e-11
0.051	6.998e-11
0.052	6.778e-11
0.053	6.617e-11
0.054	6.366e-11
0.055	6.199e-11
0.056	5.951e-11
0.057	5.729e-11
0.058	5.564e-11
0.059	5.304e-11
0.060	5.136e-11
0.061	4.907e-11
0.062	4.662e-11
0.063	4.478e-11
0.064	4.227e-11
0.065	4.050e-11
0.066	3.774e-11
0.067	3.539e-11
0.068	3.327e-11
0.069	3.066e-11
0.070	2.852e-11
0.071	2.583e-11
0.072	2.317e-11
0.073	2.099e-11
0.074	1.809e-11
0.075	1.583e-11
0.076	1.269e-11
0.077	1.013e-11
0.078	7.884e-12
0.079	4.431e-12
0.080	2.198e-12
0.081	-1.122e-12
0.082	-4.138e-12
0.083	-6.844e-12
0.084	-1.047e-11
0.085	-1.302e-11
0.086	-1.660e-11
0.087	-2.005e-11
0.088	-2.319e-11
0.089	-2.720e-11
0.090	-3.013e-11
0.091	-3.408e-11
0.092	-3.788e-11
0.093	-4.145e-11
0.094	-4.576e-11
0.095	-4.943e-11
0.096	-5.372e-11
0.097	-5.803e-11
0.098	-6.232e-11
0.099	-6.755e-11
0.100	-7.155e-11
0.101	-7.658e-11
0.102	-8.172e-11
0.103	-8.659e-11
0.104	-9.210e-11
0.105	-9.718e-11
0.106	-1.030e-10
0.107	-1.088e-10
0.108	-1.144e-10
0.109	-1.207e-10
0.110	-1.266e-10
0.111	-1.337e-10
0.112	-1.401e-10
0.113	-1.469e-10
0.114	-1.544e-10
0.115	-1.612e-10
0.116	-1.691e-10
0.117	-1.768e-10
0.118	-1.847e-10
0.119	-1.937e-10
0.120	-2.017e-10
0.121	-2.111e-10
0.122	-2.202e-10
0.123	-2.296e-10
0.124	-2.397e-10
0.125	-2.495e-10
0.126	-2.607e-10
0.127	-2.713e-10
0.128	-2.820e-10
0.129	-2.942e-10
0.130	-3.058e-10
0.131	-3.184e-10
0.132	-3.312e-10
0.133	-3.441e-10
0.134	-3.584e-10
0.135	-3.720e-10
0.136	-3.870e-10
0.137	-4.022e-10
0.138	-4.173e-10
0.139	-4.338e-10
0.140	-4.505e-10
0.141	-4.678e-10
0.142	-4.857e-10
0.143	-5.038e-10
0.144	-5.230e-10
0.145	-5.424e-10
0.146	-5.630e-10
0.147	-5.837e-10
0.148	-6.051e-10
0.149	-6.277e-10
0.150	-6.501e-10
0.151	-6.745e-10
0.152	-6.984e-10
0.153	-7.235e-10
0.154	-7.501e-10
0.155	-7.764e-10
0.156	-8.044e-10
0.157	-8.325e-10
0.158	-8.621e-10
0.159	-8.928e-10
0.160	-9.234e-10
0.161	-9.560e-10
0.162	-9.884e-10
0.163	-1.022e-9
0.164	-1.058e-9
0.165	-1.092e-9
0.166	-1.130e-9
0.167	-1.167e-9
0.168	-1.205e-9
0.169	-1.246e-9
0.170	-1.286e-9
0.171	-1.328e-9
0.172	-1.371e-9
0.173	-1.414e-9
0.174	-1.460e-9
0.175	-1.505e-9
0.176	-1.552e-9
0.177	-1.601e-9
0.178	-1.650e-9
0.179	-1.700e-9
0.180	-1.751e-9
0.181	-1.803e-9
0.182	-1.857e-9
0.183	-1.910e-9
0.184	-1.966e-9
0.185	-2.022e-9
0.186	-2.079e-9
0.187	-2.137e-9
0.188	-2.195e-9
0.189	-2.255e-9
0.190	-2.316e-9
0.191	-2.377e-9
0.192	-2.440e-9
0.193	-2.502e-9
0.194	-2.566e-9
0.195	-2.630e-9
0.196	-2.695e-9
0.197	-2.760e-9
0.198	-2.826e-9
0.199	-2.893e-9
0.200	-2.960e-9
0.201	-3.027e-9
0.202	-3.093e-9
0.203	-3.160e-9
0.204	-3.229e-9
0.205	-3.297e-9
0.206	-3.367e-9
0.207	-3.434e-9
0.208	-3.502e-9
0.209	-3.571e-9
0.210	-3.637e-9
0.211	-3.705e-9
0.212	-3.771e-9
0.213	-3.838e-9
0.214	-3.905e-9
0.215	-3.970e-9
0.216	-4.035e-9
0.217	-4.100e-9
0.218	-4.165e-9
0.219	-4.228e-9
0.220	-4.289e-9
0.221	-4.350e-9
0.222	-4.411e-9
0.223	-4.471e-9
