Distance/um	Current/A

-49.100	-5.134e-9
-48.100	-5.135e-9
-47.179	-5.135e-9
-46.179	-5.135e-9
-45.179	-5.136e-9
-44.179	-5.134e-9
-43.181	-5.134e-9
-42.182	-5.134e-9
-41.182	-5.133e-9
-40.184	-5.134e-9
-39.184	-5.133e-9
-38.185	-5.134e-9
-37.185	-5.135e-9
-36.185	-5.135e-9
-35.185	-5.135e-9
-34.185	-5.135e-9
-33.185	-5.135e-9
-32.185	-5.135e-9
-31.185	-5.134e-9
-30.186	-5.134e-9
-29.186	-5.134e-9
-28.186	-5.135e-9
-27.186	-5.135e-9
-26.186	-5.136e-9
-25.186	-5.135e-9
-24.186	-5.135e-9
-23.186	-5.136e-9
-22.186	-5.136e-9
-21.186	-5.135e-9
-20.186	-5.134e-9
-19.186	-5.136e-9
-18.186	-5.136e-9
-17.186	-5.136e-9
-16.186	-5.137e-9
-15.186	-5.137e-9
-14.186	-5.137e-9
-13.186	-5.137e-9
-12.186	-5.137e-9
-11.186	-5.136e-9
-10.186	-5.137e-9
-9.186	-5.137e-9
-8.186	-5.137e-9
-7.186	-5.137e-9
-6.186	-5.138e-9
-5.186	-5.138e-9
-4.186	-5.138e-9
-3.186	-5.139e-9
-2.186	-5.139e-9
-1.186	-5.138e-9
-0.186	-5.138e-9
0.814	-5.137e-9
1.814	-5.138e-9
2.814	-5.139e-9
3.814	-5.140e-9
4.814	-5.140e-9
5.814	-5.140e-9
6.814	-5.139e-9
7.814	-5.139e-9
8.814	-5.139e-9
9.814	-5.139e-9
10.814	-5.139e-9
11.814	-5.140e-9
12.814	-5.140e-9
13.814	-5.141e-9
14.814	-5.141e-9
15.814	-5.140e-9
16.814	-5.140e-9
17.814	-5.140e-9
18.814	-5.140e-9
19.814	-5.140e-9
20.814	-5.141e-9
21.814	-5.141e-9
22.814	-5.142e-9
23.814	-5.142e-9
24.814	-5.142e-9
25.814	-5.143e-9
26.814	-5.143e-9
27.814	-5.143e-9
28.814	-5.142e-9
29.814	-5.142e-9
30.814	-5.142e-9
31.814	-5.142e-9
32.814	-5.143e-9
33.814	-5.144e-9
34.814	-5.144e-9
35.814	-5.144e-9
36.814	-5.144e-9
37.814	-5.143e-9
38.814	-5.143e-9
39.814	-5.143e-9
40.814	-5.143e-9
41.814	-5.144e-9
42.814	-5.144e-9
43.814	-5.144e-9
44.814	-5.145e-9
45.814	-5.145e-9
46.814	-5.145e-9
47.814	-5.145e-9
48.814	-5.144e-9
49.814	-5.144e-9
50.814	-5.144e-9
51.814	-5.145e-9
52.814	-5.146e-9
53.814	-5.146e-9
54.814	-5.146e-9
55.814	-5.146e-9
56.814	-5.146e-9
57.814	-5.146e-9
58.814	-5.146e-9
59.814	-5.146e-9
60.814	-5.145e-9
61.814	-5.145e-9
62.814	-5.147e-9
63.814	-5.147e-9
64.814	-5.148e-9
65.814	-5.148e-9
66.814	-5.146e-9
67.814	-5.147e-9
68.814	-5.147e-9
69.814	-5.147e-9
70.814	-5.146e-9
71.814	-5.148e-9
72.814	-5.148e-9
73.814	-5.149e-9
74.814	-5.148e-9
75.814	-5.148e-9
76.814	-5.148e-9
77.814	-5.148e-9
78.814	-5.147e-9
79.814	-5.148e-9
80.814	-5.148e-9
81.814	-5.148e-9
82.814	-5.148e-9
83.814	-5.149e-9
84.814	-5.150e-9
85.814	-5.149e-9
86.814	-5.148e-9
87.814	-5.148e-9
88.814	-5.147e-9
89.814	-5.149e-9
90.814	-5.148e-9
91.814	-5.149e-9
92.814	-5.149e-9
93.814	-5.151e-9
94.814	-5.150e-9
95.814	-5.150e-9
96.814	-5.150e-9
97.814	-5.150e-9
98.814	-5.149e-9
99.814	-5.149e-9
100.814	-5.149e-9
101.814	-5.150e-9
102.814	-5.151e-9
103.814	-5.150e-9
104.814	-5.151e-9
105.814	-5.150e-9
106.814	-5.150e-9
107.814	-5.150e-9
108.814	-5.150e-9
109.814	-5.150e-9
110.814	-5.150e-9
111.814	-5.150e-9
112.814	-5.150e-9
113.814	-5.151e-9
114.814	-5.152e-9
115.814	-5.151e-9
116.814	-5.152e-9
117.814	-5.151e-9
118.814	-5.151e-9
119.814	-5.151e-9
120.814	-5.150e-9
121.814	-5.151e-9
122.814	-5.151e-9
123.814	-5.152e-9
124.814	-5.153e-9
125.814	-5.152e-9
126.814	-5.151e-9
127.814	-5.151e-9
128.814	-5.150e-9
129.814	-5.150e-9
130.814	-5.150e-9
131.814	-5.150e-9
132.814	-5.152e-9
133.814	-5.153e-9
134.814	-5.152e-9
